Feature,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,Gender,Role
Mfcc1Vstddev,0.729301,0.990614,0.938812,0.089896,0.775477,0.53204,0.229078
Mfcc2Vmean,0.48171,0.044485*,0.001876**,0.000025**,0.249994,0.040042*,0**
Mfcc2Vstddev,0.365706,0.205135,0.333724,0.997802,0.120206,0.417864,0.573971
Mfcc3Vmean,0.262207,0.267137,0.702365,0.000001**,0.994739,0**,0**
Mfcc3Vstddev,0.240939,0.632751,0.753576,0.561933,0.829703,0.596096,0.290803
Mfcc4Vmean,0.040395*,0.09865,0.005826**,0.096687,0.216556,0.875421,0**
Mfcc4Vstddev,0.585155,0.629941,0.195076,0.267152,0.949431,0.315151,0.0458*
AlphaRatioUVmean,0.000301**,0.000012**,0.562508,0.017683*,0.328874,0.546738,0.13685
HammarbergIndexUVmean,0.000005**,0.000081**,0.840183,0.036477*,0.686464,0.691032,0.000048**
SlopeUV0-500mean,0.30676,0.001011**,0.01864*,0.491008,0.140616,0.001902**,0**
SlopeUV500-1500mean,0.02287*,0.517625,0.195075,0.380126,0.474771,0.629841,0**
SpectralFluxUVmean,0.095325,0.005083**,0.314898,0.044354*,0.66944,0.068896,0**
LoudnessPeaksPerSec,0**,0.433819,0**,0.039589*,0.103207,0.208461,0**
VoicedSegmentsPerSec,0**,0.124422,0.003895**,0.051329,0.740478,0.819812,0**
MeanVoicedSegmentLengthSec,0.62473,0.197305,0.269049,0.099881,0.35921,0**,0.031831*
StddevVoicedSegmentLengthSec,0.809506,0.450011,0.667079,0.188339,0.640745,0**,0.334664
MeanUnvoicedSegmentLength,0**,0.757962,0.010014*,0.815723,0.831252,0.000007**,0**
StddevUnvoicedSegmentLength,0**,0.796722,0.030577*,0.661293,0.622559,0.000004**,0**
EquivalentSoundLevel_dBp,0.01453*,0.875117,0.248286,0.078573,0.04217*,0**,0.357603
